cui,name
C40.1,Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der oberen Extremität
C40.2,Bösartige Neubildung des Knochens und des Gelenkknorpels: Lange Knochen der unteren Extremität
C40.3,Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der unteren Extremität
C40.8,"Bösartige Neubildung: Knochen und Gelenkknorpel der Extremitäten, mehrere Teilbereiche überlappend"
C40.9,"Bösartige Neubildung: Knochen und Gelenkknorpel einer Extremität, nicht näher bezeichnet"
C41,Bösartige Neubildung des Knochens und des Gelenkknorpels sonstiger und nicht näher bezeichneter Lokalisationen
C41.0,Bösartige Neubildung des Knochens und des Gelenkknorpels: Knochen des Hirn- und Gesichtsschädels
C41.01,Bösartige Neubildung des Knochens und des Gelenkknorpels: Kraniofazial
C41.02,Bösartige Neubildung des Knochens und des Gelenkknorpels: Maxillofazial
C41.1,Bösartige Neubildung des Knochens und des Gelenkknorpels: Unterkieferknochen
C41.2,Bösartige Neubildung des Knochens und des Gelenkknorpels: Wirbelsäule
C41.3,"Bösartige Neubildung des Knochens und des Gelenkknorpels: Rippen, Sternum und Klavikula"
C41.30,Rippen
C41.31,Sternum
C41.32,Klavikula
C41.4,Bösartige Neubildung des Knochens und des Gelenkknorpels: Beckenknochen
C41.8,"Bösartige Neubildung: Knochen und Gelenkknorpel, mehrere Teilbereiche überlappend"
C41.9,"Bösartige Neubildung: Knochen und Gelenkknorpel, nicht näher bezeichnet"
C43-C44,Melanom und sonstige bösartige Neubildungen der Haut
C43,Bösartiges Melanom der Haut
C43.0,Bösartiges Melanom der Lippe
C43.1,"Bösartiges Melanom des Augenlides, einschließlich Kanthus"
C43.2,Bösartiges Melanom des Ohres und des äußeren Gehörganges
C43.3,Bösartiges Melanom sonstiger und nicht näher bezeichneter Teile des Gesichtes
C43.4,Bösartiges Melanom der behaarten Kopfhaut und des Halses
C43.5,Bösartiges Melanom des Rumpfes
C43.6,"Bösartiges Melanom der oberen Extremität, einschließlich Schulter"
C43.7,"Bösartiges Melanom der unteren Extremität, einschließlich Hüfte"
C43.8,"Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend"
C43.9,"Bösartiges Melanom der Haut, nicht näher bezeichnet"
C44,Sonstige bösartige Neubildungen der Haut
C44.0,Sonstige bösartige Neubildungen: Lippenhaut
C44.1,"Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus"
C44.2,Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges
C44.3,Sonstige bösartige Neubildungen: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes
C44.4,Sonstige bösartige Neubildungen: Behaarte Kopfhaut und Haut des Halses
C44.5,Sonstige bösartige Neubildungen: Haut des Rumpfes
C44.50,"
				"
C44.59,Haut sonstiger und nicht näher bezeichneter Teile des Rumpfes
C44.6,"Sonstige bösartige Neubildungen: Haut der oberen Extremität, einschließlich Schulter"
C44.7,"Sonstige bösartige Neubildungen: Haut der unteren Extremität, einschließlich Hüfte"
C44.8,"Sonstige bösartige Neubildungen: Haut, mehrere Teilbereiche überlappend"
C44.9,"Bösartige Neubildung der Haut, nicht näher bezeichnet"
C45-C49,Bösartige Neubildungen des mesothelialen Gewebes und des Weichteilgewebes
C45,Mesotheliom
C45.0,Mesotheliom der Pleura
C45.1,Mesotheliom des Peritoneums
C45.2,Mesotheliom des Perikards
C45.7,Mesotheliom sonstiger Lokalisationen
C45.9,"Mesotheliom, nicht näher bezeichnet"
C46,Kaposi-Sarkom [Sarcoma idiopathicum multiplex haemorrhagicum]
C46.0,Kaposi-Sarkom der Haut
C46.1,Kaposi-Sarkom des Weichteilgewebes
C46.2,Kaposi-Sarkom des Gaumens
C46.3,Kaposi-Sarkom der Lymphknoten
C46.7,Kaposi-Sarkom sonstiger Lokalisationen
C46.8,Kaposi-Sarkom mehrerer Organe
C46.9,"Kaposi-Sarkom, nicht näher bezeichnet"
C47,Bösartige Neubildung der peripheren Nerven und des autonomen Nervensystems
C47.0,"Bösartige Neubildung: Periphere Nerven des Kopfes, des Gesichtes und des Halses"
C47.1,"Bösartige Neubildung: Periphere Nerven der oberen Extremität, einschließlich Schulter"
C47.2,"Bösartige Neubildung: Periphere Nerven der unteren Extremität, einschließlich Hüfte"
C47.3,Bösartige Neubildung: Periphere Nerven des Thorax
C47.4,Bösartige Neubildung: Periphere Nerven des Abdomens
C47.5,Bösartige Neubildung: Periphere Nerven des Beckens
C47.6,"Bösartige Neubildung: Periphere Nerven des Rumpfes, nicht näher bezeichnet"
C47.8,"Bösartige Neubildung: Periphere Nerven und autonomes Nervensystem, mehrere Teilbereiche überlappend"
C47.9,"Bösartige Neubildung: Periphere Nerven und autonomes Nervensystem, nicht näher bezeichnet"
C48,Bösartige Neubildung des Retroperitoneums und des Peritoneums
C48.0,Bösartige Neubildung: Retroperitoneum
C48.1,Bösartige Neubildung: Näher bezeichnete Teile des Peritoneums
C48.2,"Bösartige Neubildung: Peritoneum, nicht näher bezeichnet"
C48.8,"Bösartige Neubildung: Retroperitoneum und Peritoneum, mehrere Teilbereiche überlappend"
C49,Bösartige Neubildung sonstigen Bindegewebes und anderer Weichteilgewebe
C49.0,"Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Kopfes, des Gesichtes und des Halses"
C49.1,"Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der oberen Extremität, einschließlich Schulter"
C49.2,"Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der unteren Extremität, einschließlich Hüfte"
C49.3,Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Thorax
C49.4,Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Abdomens
C49.5,Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Beckens
C49.6,"Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Rumpfes, nicht näher bezeichnet"
C49.8,"Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, mehrere Teilbereiche überlappend"
C49.9,"Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, nicht näher bezeichnet"
C50-C50,Bösartige Neubildungen der Brustdrüse [Mamma]
C50,Bösartige Neubildung der Brustdrüse [Mamma]
C50.0,Bösartige Neubildung: Brustwarze und Warzenhof
C50.1,Bösartige Neubildung: Zentraler Drüsenkörper der Brustdrüse
C50.2,Bösartige Neubildung: Oberer innerer Quadrant der Brustdrüse
C50.3,Bösartige Neubildung: Unterer innerer Quadrant der Brustdrüse
C50.4,Bösartige Neubildung: Oberer äußerer Quadrant der Brustdrüse
C50.5,Bösartige Neubildung: Unterer äußerer Quadrant der Brustdrüse
C50.6,Bösartige Neubildung: Recessus axillaris der Brustdrüse
C50.8,"Bösartige Neubildung: Brustdrüse, mehrere Teilbereiche überlappend"
C50.9,"Bösartige Neubildung: Brustdrüse, nicht näher bezeichnet"
C51-C58,Bösartige Neubildungen der weiblichen Genitalorgane
C51,Bösartige Neubildung der Vulva
C51.0,Bösartige Neubildung der Vulva: Labium majus
C51.1,Bösartige Neubildung der Vulva: Labium minus
C51.2,Bösartige Neubildung der Vulva: Klitoris
C51.8,"Bösartige Neubildung: Vulva, mehrere Teilbereiche überlappend"
C51.9,"Bösartige Neubildung: Vulva, nicht näher bezeichnet"
C52,Bösartige Neubildung der Vagina
C53,Bösartige Neubildung der Cervix uteri
C53.0,Bösartige Neubildung: Endozervix
C53.1,Bösartige Neubildung: Ektozervix
C53.8,"Bösartige Neubildung: Cervix uteri, mehrere Teilbereiche überlappend"
C53.9,"Bösartige Neubildung: Cervix uteri, nicht näher bezeichnet"
C54,Bösartige Neubildung des Corpus uteri
C54.0,Bösartige Neubildung: Isthmus uteri
C54.1,Bösartige Neubildung: Endometrium
C54.2,Bösartige Neubildung: Myometrium
C54.3,Bösartige Neubildung: Fundus uteri
C54.8,"Bösartige Neubildung: Corpus uteri, mehrere Teilbereiche überlappend"
C54.9,"Bösartige Neubildung: Corpus uteri, nicht näher bezeichnet"
C55,"Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet"
C56,Bösartige Neubildung des Ovars
C57,Bösartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane
C57.0,Bösartige Neubildung: Tuba uterina [Falloppio]
C57.1,Bösartige Neubildung: Lig. latum uteri
C57.2,Bösartige Neubildung: Lig. teres uteri
C57.3,Bösartige Neubildung: Parametrium
C57.4,"Bösartige Neubildung: Uterine Adnexe, nicht näher bezeichnet"
C57.7,Bösartige Neubildung: Sonstige näher bezeichnete weibliche Genitalorgane
C57.8,"Bösartige Neubildung: Weibliche Genitalorgane, mehrere Teilbereiche überlappend"
C57.9,"Bösartige Neubildung: Weibliches Genitalorgan, nicht näher bezeichnet"
C58,Bösartige Neubildung der Plazenta
C60-C63,Bösartige Neubildungen der männlichen Genitalorgane
C60,Bösartige Neubildung des Penis
C60.0,Bösartige Neubildung: Praeputium penis
C60.1,Bösartige Neubildung: Glans penis
C60.2,Bösartige Neubildung: Penisschaft
C60.8,"Bösartige Neubildung: Penis, mehrere Teilbereiche überlappend"
C60.9,"Bösartige Neubildung: Penis, nicht näher bezeichnet"
C61,Bösartige Neubildung der Prostata
C62,Bösartige Neubildung des Hodens
C62.0,Bösartige Neubildung: Dystoper Hoden
C62.1,Bösartige Neubildung: Deszendierter Hoden
C62.9,"Bösartige Neubildung: Hoden, nicht näher bezeichnet"
C63,Bösartige Neubildung sonstiger und nicht näher bezeichneter männlicher Genitalorgane
C63.0,Bösartige Neubildung: Nebenhoden [Epididymis]
C63.1,Bösartige Neubildung: Samenstrang
C63.2,Bösartige Neubildung: Skrotum
C63.7,Bösartige Neubildung: Sonstige näher bezeichnete männliche Genitalorgane
C63.8,"Bösartige Neubildung: Männliche Genitalorgane, mehrere Teilbereiche überlappend"
C63.9,"Bösartige Neubildung: Männliches Genitalorgan, nicht näher bezeichnet"
C64-C68,Bösartige Neubildungen der Harnorgane
C64,"Bösartige Neubildung der Niere, ausgenommen Nierenbecken"
C65,Bösartige Neubildung des Nierenbeckens
C66,Bösartige Neubildung des Ureters
C67,Bösartige Neubildung der Harnblase
C67.0,Bösartige Neubildung: Trigonum vesicae
C67.1,Bösartige Neubildung: Apex vesicae
C67.2,Bösartige Neubildung: Laterale Harnblasenwand
C67.3,Bösartige Neubildung: Vordere Harnblasenwand
C67.4,Bösartige Neubildung: Hintere Harnblasenwand
C67.5,Bösartige Neubildung: Harnblasenhals
C67.6,Bösartige Neubildung: Ostium ureteris
C67.7,Bösartige Neubildung: Urachus
C67.8,"Bösartige Neubildung: Harnblase, mehrere Teilbereiche überlappend"
C67.9,"Bösartige Neubildung: Harnblase, nicht näher bezeichnet"
C68,Bösartige Neubildung sonstiger und nicht näher bezeichneter Harnorgane
C68.0,Bösartige Neubildung: Urethra
C68.1,Bösartige Neubildung: Paraurethrale Drüse
C68.8,"Bösartige Neubildung: Harnorgane, mehrere Teilbereiche überlappend"
C68.9,"Bösartige Neubildung: Harnorgan, nicht näher bezeichnet"
C69-C72,"Bösartige Neubildungen des Auges, des Gehirns und sonstiger Teile des Zentralnervensystems"
C69,Bösartige Neubildung des Auges und der Augenanhangsgebilde
C69.0,Bösartige Neubildung: Konjunktiva
C69.1,Bösartige Neubildung: Kornea
C69.2,Bösartige Neubildung: Retina
C69.3,Bösartige Neubildung: Chorioidea
C69.4,Bösartige Neubildung: Ziliarkörper
C69.5,Bösartige Neubildung: Tränendrüse und Tränenwege
C69.6,Bösartige Neubildung: Orbita
C69.8,"Bösartige Neubildung: Auge und Augenanhangsgebilde, mehrere Teilbereiche überlappend"
C69.9,"Bösartige Neubildung: Auge, nicht näher bezeichnet"
C70,Bösartige Neubildung der Meningen
C70.0,Bösartige Neubildung: Hirnhäute
C70.1,Bösartige Neubildung: Rückenmarkhäute
C70.9,"Bösartige Neubildung: Meningen, nicht näher bezeichnet"
C71,Bösartige Neubildung des Gehirns
C71.0,"Bösartige Neubildung: Zerebrum, ausgenommen Hirnlappen und Ventrikel"
C71.1,Bösartige Neubildung: Frontallappen
C71.2,Bösartige Neubildung: Temporallappen
C71.3,Bösartige Neubildung: Parietallappen
C71.4,Bösartige Neubildung: Okzipitallappen
C71.5,Bösartige Neubildung: Hirnventrikel
C71.6,Bösartige Neubildung: Zerebellum
C71.7,Bösartige Neubildung: Hirnstamm
C71.8,"Bösartige Neubildung: Gehirn, mehrere Teilbereiche überlappend"
C71.9,"Bösartige Neubildung: Gehirn, nicht näher bezeichnet"
C72,"Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems"
C72.0,Bösartige Neubildung: Rückenmark
C72.1,Bösartige Neubildung: Cauda equina
C72.2,Bösartige Neubildung: Nn. olfactorii [I. Hirnnerv]
C72.3,Bösartige Neubildung: N. opticus [II. Hirnnerv]
C72.4,Bösartige Neubildung: N. vestibulocochlearis [VIII. Hirnnerv]
C72.5,Bösartige Neubildung: Sonstige und nicht näher bezeichnete Hirnnerven
C72.8,"Bösartige Neubildung: Gehirn und andere Teile des Zentralnervensystems, mehrere Teilbereiche überlappend"
C72.9,"Bösartige Neubildung: Zentralnervensystem, nicht näher bezeichnet"
C73-C75,Bösartige Neubildungen der Schilddrüse und sonstiger endokriner Drüsen
C73,Bösartige Neubildung der Schilddrüse
C74,Bösartige Neubildung der Nebenniere
C74.0,Bösartige Neubildung: Nebennierenrinde
C74.1,Bösartige Neubildung: Nebennierenmark
C74.9,"Bösartige Neubildung: Nebenniere, nicht näher bezeichnet"
C75,Bösartige Neubildung sonstiger endokriner Drüsen und verwandter Strukturen
C75.0,Bösartige Neubildung: Nebenschilddrüse
C75.1,Bösartige Neubildung: Hypophyse
C75.2,Bösartige Neubildung: Ductus craniopharyngealis
C75.3,Bösartige Neubildung: Epiphyse [Glandula pinealis] [Zirbeldrüse]
C75.4,Bösartige Neubildung: Glomus caroticum
C75.5,Bösartige Neubildung: Glomus aorticum und sonstige Paraganglien
C75.8,"Bösartige Neubildung: Beteiligung mehrerer endokriner Drüsen, nicht näher bezeichnet"
C75.9,"Bösartige Neubildung: Endokrine Drüse, nicht näher bezeichnet"
C76-C80,"Bösartige Neubildungen ungenau bezeichneter, sekundärer und nicht näher bezeichneter Lokalisationen"
C76,Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen
C76.0,"Bösartige Neubildung ungenau bezeichneter Lokalisationen: Kopf, Gesicht und Hals"
C76.1,Bösartige Neubildung ungenau bezeichneter Lokalisationen: Thorax
C76.2,Bösartige Neubildung ungenau bezeichneter Lokalisationen: Abdomen
C76.3,Bösartige Neubildung ungenau bezeichneter Lokalisationen: Becken
C76.4,Bösartige Neubildung ungenau bezeichneter Lokalisationen: Obere Extremität
C76.5,Bösartige Neubildung ungenau bezeichneter Lokalisationen: Untere Extremität
C76.7,Bösartige Neubildung: Sonstige ungenau bezeichnete Lokalisationen
C76.8,"Bösartige Neubildung: Sonstige und ungenau bezeichnete Lokalisationen, mehrere Teilbereiche überlappend"
C77,Sekundäre und nicht näher bezeichnete bösartige Neubildung der Lymphknoten
C77.0,"Sekundäre und nicht näher bezeichnete bösartige Neubildung: Lymphknoten des Kopfes, des Gesichtes und des Halses"
C77.1,Sekundäre und nicht näher bezeichnete bösartige Neubildung: Intrathorakale Lymphknoten
C77.2,Sekundäre und nicht näher bezeichnete bösartige Neubildung: Intraabdominale Lymphknoten
C77.3,Sekundäre und nicht näher bezeichnete bösartige Neubildung: Axilläre Lymphknoten und Lymphknoten der oberen Extremität
C77.4,Sekundäre und nicht näher bezeichnete bösartige Neubildung: Inguinale Lymphknoten und Lymphknoten der unteren Extremität
C77.5,Sekundäre und nicht näher bezeichnete bösartige Neubildung: Intrapelvine Lymphknoten
C77.8,Sekundäre und nicht näher bezeichnete bösartige Neubildung: Lymphknoten mehrerer Regionen
C77.9,"Sekundäre und nicht näher bezeichnete bösartige Neubildung: Lymphknoten, nicht näher bezeichnet"
C78,Sekundäre bösartige Neubildung der Atmungs- und Verdauungsorgane
C78.0,Sekundäre bösartige Neubildung der Lunge
C78.1,Sekundäre bösartige Neubildung des Mediastinums
C78.2,Sekundäre bösartige Neubildung der Pleura
C78.3,Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Atmungsorgane
C78.4,Sekundäre bösartige Neubildung des Dünndarmes
C78.5,Sekundäre bösartige Neubildung des Dickdarmes und des Rektums
C78.6,Sekundäre bösartige Neubildung des Retroperitoneums und des Peritoneums
C78.7,Sekundäre bösartige Neubildung der Leber und der intrahepatischen Gallengänge
C78.8,Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Verdauungsorgane
C79,Sekundäre bösartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen
C79.0,Sekundäre bösartige Neubildung der Niere und des Nierenbeckens
C79.1,Sekundäre bösartige Neubildung der Harnblase sowie sonstiger und nicht näher bezeichneter Harnorgane
C79.2,Sekundäre bösartige Neubildung der Haut
C79.3,Sekundäre bösartige Neubildung des Gehirns und der Hirnhäute
C79.4,Sekundäre bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Nervensystems
C79.5,Sekundäre bösartige Neubildung des Knochens und des Knochenmarkes
C79.6,Sekundäre bösartige Neubildung des Ovars
C79.7,Sekundäre bösartige Neubildung der Nebenniere
C79.8,Sekundäre bösartige Neubildung sonstiger näher bezeichneter Lokalisationen
C79.81,Sekundäre bösartige Neubildung der Brustdrüse
C79.82,Sekundäre bösartige Neubildung der Genitalorgane
C79.83,Sekundäre bösartige Neubildung des Perikards
C79.84,Sonstige sekundäre bösartige Neubildung des Herzens
C79.85,Sekundäre bösartige Neubildung des Bindegewebes und anderer Weichteilgewebe des Halses
C79.86,Sekundäre bösartige Neubildung des Bindegewebes und anderer Weichteilgewebe der Extremitäten
C79.88,Sekundäre bösartige Neubildung sonstiger näher bezeichneter Lokalisationen
C79.9,Sekundäre bösartige Neubildung nicht näher bezeichneter Lokalisation
C80,Bösartige Neubildung ohne Angabe der Lokalisation
C80.0,"Bösartige Neubildung, primäre Lokalisation unbekannt, so bezeichnet"
C80.9,"Bösartige Neubildung, nicht näher bezeichnet"
C81-C96,"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes, als primär festgestellt oder vermutet"
C81,Hodgkin-Lymphom [Lymphogranulomatose]
C81.0,Noduläres lymphozytenprädominantes Hodgkin-Lymphom
C81.1,Nodulär-sklerosierendes (klassisches) Hodgkin-Lymphom
C81.2,Gemischtzelliges (klassisches) Hodgkin-Lymphom
C81.3,Lymphozytenarmes (klassisches) Hodgkin-Lymphom
C81.4,Lymphozytenreiches (klassisches) Hodgkin-Lymphom
C81.7,Sonstige Typen des (klassischen) Hodgkin-Lymphoms
C81.9,"Hodgkin-Lymphom, nicht näher bezeichnet"
C82,Follikuläres Lymphom
C82.0,Follikuläres Lymphom Grad I
C82.1,Follikuläres Lymphom Grad II
C82.2,"Follikuläres Lymphom Grad III, nicht näher bezeichnet"
C82.3,Follikuläres Lymphom Grad IIIa
C82.4,Follikuläres Lymphom Grad IIIb
C82.5,Diffuses Follikelzentrumslymphom
C82.6,Kutanes Follikelzentrumslymphom
C82.7,Sonstige Typen des follikulären Lymphoms
C82.9,"Follikuläres Lymphom, nicht näher bezeichnet"
C83,Nicht follikuläres Lymphom
C83.0,Kleinzelliges B-Zell-Lymphom
C83.1,Mantelzell-Lymphom
C83.3,Diffuses großzelliges B-Zell-Lymphom
C83.5,Lymphoblastisches Lymphom
C83.7,Burkitt-Lymphom
C83.8,Sonstige nicht follikuläre Lymphome
C83.9,"Nicht follikuläres Lymphom, nicht näher bezeichnet"
C84,Reifzellige T/NK-Zell-Lymphome
C84.0,Mycosis fungoides
C84.1,Sézary-Syndrom
C84.4,"Peripheres T-Zell-Lymphom, nicht spezifiziert"
C84.5,Sonstige reifzellige T/NK-Zell-Lymphome
C84.6,"Anaplastisches großzelliges Lymphom, ALK-positiv"
C84.7,"Anaplastisches großzelliges Lymphom, ALK-negativ"
C84.8,"Kutanes T-Zell-Lymphom, nicht näher bezeichnet"
C84.9,"Reifzelliges T/NK-Zell-Lymphom, nicht näher bezeichnet"
C85,Sonstige und nicht näher bezeichnete Typen des Non-Hodgkin-Lymphoms
C85.1,"B-Zell-Lymphom, nicht näher bezeichnet"
C85.2,Mediastinales (thymisches) großzelliges B-Zell-Lymphom
C85.7,Sonstige näher bezeichnete Typen des Non-Hodgkin-Lymphoms
C85.9,"Non-Hodgkin-Lymphom, nicht näher bezeichnet"
C86,Weitere spezifizierte T/NK-Zell-Lymphome
C86.0,"Extranodales NK/T-Zell-Lymphom, nasaler Typ"
C86.1,Hepatosplenisches T-Zell-Lymphom
C86.2,T-Zell-Lymphom vom Enteropathie-Typ
C86.3,Subkutanes pannikulitisches T-Zell-Lymphom
C86.4,Blastisches NK-Zell-Lymphom
C86.5,Angioimmunoblastisches T-Zell-Lymphom
C86.6,Primäre kutane CD30-positive T-Zell-Proliferationen
C88,Bösartige immunproliferative Krankheiten
C88.0,Makroglobulinämie Waldenström
C88.2,Sonstige Schwerkettenkrankheit
C88.3,Immunproliferative Dünndarmkrankheit
C88.4,Extranodales Marginalzonen-B-Zell-Lymphom des Mukosa-assoziierten lymphatischen Gewebes [MALT-Lymphom]
C88.7,Sonstige bösartige immunproliferative Krankheiten
C88.9,"Bösartige immunproliferative Krankheit, nicht näher bezeichnet"
C90,Plasmozytom und bösartige Plasmazellen-Neubildungen
C90.0,Multiples Myelom
C90.1,Plasmazellenleukämie
C90.2,Extramedulläres Plasmozytom
C90.3,Solitäres Plasmozytom
C91,Lymphatische Leukämie
C91.0,Akute lymphatische Leukämie [ALL]
C91.1,Chronische lymphatische Leukämie vom B-Zell-Typ [CLL]
C91.3,Prolymphozytäre Leukämie vom B-Zell-Typ
C91.4,Haarzellenleukämie
C91.5,Adulte(s) T-Zell-Lymphom/Leukämie (HTLV-1-assoziiert)
C91.6,Prolymphozyten-Leukämie vom T-Zell-Typ
C91.7,Sonstige lymphatische Leukämie
C91.8,Reifzellige B-ALL vom Burkitt-Typ
C91.9,"Lymphatische Leukämie, nicht näher bezeichnet"
C92,Myeloische Leukämie
C92.0,Akute myeloblastische Leukämie [AML]
C92.1,"Chronische myeloische Leukämie [CML], BCR/ABL-positiv"
C92.2,"Atypische chronische myeloische Leukämie, BCR/ABL-negativ"
C92.3,Myelosarkom
C92.4,Akute Promyelozyten-Leukämie [PCL]
C92.5,Akute myelomonozytäre Leukämie
C92.6,Akute myeloische Leukämie mit 11q23-Abnormität
C92.7,Sonstige myeloische Leukämie
C92.8,Akute myeloische Leukämie mit multilineärer Dysplasie
C92.9,"Myeloische Leukämie, nicht näher bezeichnet"
C93,Monozytenleukämie
C93.0,Akute Monoblasten-/Monozytenleukämie
C93.1,Chronische myelomonozytäre Leukämie
C93.3,Juvenile myelomonozytäre Leukämie
C93.7,Sonstige Monozytenleukämie
C93.9,"Monozytenleukämie, nicht näher bezeichnet"
C94,Sonstige Leukämien näher bezeichneten Zelltyps
C94.0,Akute Erythroleukämie
C94.2,Akute Megakaryoblastenleukämie
C94.3,Mastzellenleukämie
C94.4,Akute Panmyelose mit Myelofibrose
C94.6,"Myelodysplastische und myeloproliferative Krankheit, nicht klassifizierbar"
C94.7,Sonstige näher bezeichnete Leukämien
C94.8,Blastenkrise bei chronischer myeloischer Leukämie [CML]
C95,Leukämie nicht näher bezeichneten Zelltyps
C95.0,Akute Leukämie nicht näher bezeichneten Zelltyps
C95.1,Chronische Leukämie nicht näher bezeichneten Zelltyps
C95.7,Sonstige Leukämie nicht näher bezeichneten Zelltyps
C95.8,"Leukämie, refraktär auf Standard-Induktionstherapie"
C95.9,"Leukämie, nicht näher bezeichnet"
C96,"Sonstige und nicht näher bezeichnete bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes"
C96.0,Multifokale und multisystemische (disseminierte) Langerhans-Zell-Histiozytose [Abt-Letterer-Siwe-Krankheit]
C96.2,Bösartiger Mastzelltumor
C96.4,Sarkom der dendritischen Zellen (akzessorische Zellen)
C96.5,Multifokale und unisystemische Langerhans-Zell-Histiozytose
C96.6,Unifokale Langerhans-Zell-Histiozytose
C96.7,"Sonstige näher bezeichnete bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes"
C96.8,Histiozytisches Sarkom
C96.9,"Bösartige Neubildung des lymphatischen, blutbildenden und verwandten Gewebes, nicht näher bezeichnet"
C97-C97,Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen
C97,Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen
D00-D09,In-situ-Neubildungen
D00,"Carcinoma in situ der Mundhöhle, des Ösophagus und des Magens"
D00.0,"Carcinoma in situ: Lippe, Mundhöhle und Pharynx"
D00.1,Carcinoma in situ: Ösophagus
D00.2,Carcinoma in situ: Magen
D01,Carcinoma in situ sonstiger und nicht näher bezeichneter Verdauungsorgane
D01.0,Carcinoma in situ: Kolon
D01.1,"Carcinoma in situ: Rektosigmoid, Übergang"
D01.2,Carcinoma in situ: Rektum
D01.3,Carcinoma in situ: Analkanal und Anus
D01.4,Carcinoma in situ: Sonstige und nicht näher bezeichnete Teile des Darmes
D01.5,"Carcinoma in situ: Leber, Gallenblase und Gallengänge"
D01.7,Carcinoma in situ: Sonstige näher bezeichnete Verdauungsorgane
D01.9,"Carcinoma in situ: Verdauungsorgan, nicht näher bezeichnet"
D02,Carcinoma in situ des Mittelohres und des Atmungssystems
D02.0,Carcinoma in situ: Larynx
D02.1,Carcinoma in situ: Trachea
D02.2,Carcinoma in situ: Bronchus und Lunge
D02.3,Carcinoma in situ: Sonstige Teile des Atmungssystems
D02.4,"Carcinoma in situ: Atmungssystem, nicht näher bezeichnet"
D03,Melanoma in situ
D03.0,Melanoma in situ der Lippe
D03.1,"Melanoma in situ des Augenlides, einschließlich Kanthus"
D03.2,Melanoma in situ des Ohres und des äußeren Gehörganges
D03.3,Melanoma in situ sonstiger und nicht näher bezeichneter Teile des Gesichtes
D03.4,Melanoma in situ der behaarten Kopfhaut und des Halses
D03.5,Melanoma in situ des Rumpfes
D03.6,"Melanoma in situ der oberen Extremität, einschließlich Schulter"
D03.7,"Melanoma in situ der unteren Extremität, einschließlich Hüfte"
D03.8,Melanoma in situ an sonstigen Lokalisationen
D03.9,"Melanoma in situ, nicht näher bezeichnet"
D04,Carcinoma in situ der Haut
D04.0,Carcinoma in situ: Lippenhaut
D04.1,"Carcinoma in situ: Haut des Augenlides, einschließlich Kanthus"
D04.2,Carcinoma in situ: Haut des Ohres und des äußeren Gehörganges
D04.3,Carcinoma in situ: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes
D04.4,Carcinoma in situ: Behaarte Kopfhaut und Haut des Halses
D04.5,Carcinoma in situ: Haut des Rumpfes
D04.6,"Carcinoma in situ: Haut der oberen Extremität, einschließlich Schulter"
D04.7,"Carcinoma in situ: Haut der unteren Extremität, einschließlich Hüfte"
D04.8,Carcinoma in situ: Haut an sonstigen Lokalisationen
D04.9,"Carcinoma in situ: Haut, nicht näher bezeichnet"
D05,Carcinoma in situ der Brustdrüse [Mamma]
D05.0,Lobuläres Carcinoma in situ der Brustdrüse
D05.1,Carcinoma in situ der Milchgänge
D05.7,Sonstiges Carcinoma in situ der Brustdrüse
D05.9,"Carcinoma in situ der Brustdrüse, nicht näher bezeichnet"
D06,Carcinoma in situ der Cervix uteri
D06.0,Carcinoma in situ: Endozervix
D06.1,Carcinoma in situ: Ektozervix
D06.7,Carcinoma in situ: Sonstige Teile der Cervix uteri
D06.9,"Carcinoma in situ: Cervix uteri, nicht näher bezeichnet"
D07,Carcinoma in situ sonstiger und nicht näher bezeichneter Genitalorgane
D07.0,Carcinoma in situ: Endometrium
